region,Inflation_rate
Afghanistan,NA
Albania,4.8
Algeria,9
Andorra,5.2
Angola,13.1
Antigua and Barbuda,5
Argentina,121.7
Armenia,3.5
Aruba,4.5
Australia,5.8
Austria,7.8
Azerbaijan,10.3
"Bahamas, The",3.9
Bahrain,1
Bangladesh,9
Barbados,5.2
Belarus,4.7
Belgium,2.5
Belize,3.7
Benin,5
Bhutan,5.2
Bolivia,3
Bosnia and Herzegovina,5.5
Botswana,5.9
Brazil,4.7
Brunei Darussalam,1.7
Bulgaria,8.5
Burkina Faso,1.4
Burundi,20.1
Cabo Verde,5.2
Cambodia,2
Cameroon,7.2
Canada,3.6
Central African Republic,6.5
Chad,7
Chile,7.8
"China, People's Republic of",0.7
Colombia,11.4
Comoros,11.1
"Congo, Dem. Rep. of the",19.1
"Congo, Republic of ",3.5
Costa Rica,0.7
Croatia,8.6
Cyprus,3.5
Czech Republic,10.9
Côte d'Ivoire,4.3
Denmark,4.1
Djibouti,1.2
Dominica,6.2
Dominican Republic,4.9
Ecuador,2.3
Egypt,23.5
El Salvador,4.4
Equatorial Guinea,2.4
Eritrea,NA
Estonia,10
Eswatini,5.5
Ethiopia,29.1
Fiji,3
Finland,4.5
France,5.6
Gabon,3.8
"Gambia, The",17
Georgia,2.4
Germany,6.3
Ghana,42.2
Greece,4.1
Grenada,3.6
Guatemala,6.3
Guinea,8.3
Guinea-Bissau,7
Guyana,5.5
Haiti,43.6
Honduras,6.4
Hong Kong SAR,2.2
Hungary,17.7
Iceland,8.6
India,5.5
Indonesia,3.6
Iran,47
Iraq,5.3
Ireland,5.2
Israel,4.3
Italy,6
Jamaica,6.5
Japan,3.2
Jordan,2.7
Kazakhstan,15
Kenya,7.7
Kiribati,9
"Korea, Republic of",3.4
Kosovo,4.7
Kuwait,3.4
Kyrgyz Republic,11.7
Lao P.D.R.,28.1
Latvia,9.9
Lebanon,NA
Lesotho,6.9
Liberia,10.6
Libya,3.4
Lithuania,9.3
Luxembourg,3.2
Macao SAR,0.9
Madagascar,10.5
Malawi,27.7
Malaysia,2.9
Maldives,3.5
Mali,5
Malta,5.8
Marshall Islands,5.2
Mauritania,7.5
Mauritius,7.8
Mexico,5.5
"Micronesia, Fed. States of",5.3
Moldova,13.3
Mongolia,12.3
Montenegro,8.3
Morocco,6.3
Mozambique,7.4
Myanmar,14.2
Namibia,6
Nauru,6.1
Nepal,7.8
Netherlands,4
New Zealand,4.9
Nicaragua,9.1
Niger,4.6
Nigeria,25.1
North Macedonia ,10
Norway,5.8
Oman,1.1
Pakistan,29.2
Palau,12.5
Panama,1.5
Papua New Guinea,5
Paraguay,4.7
Peru,6.5
Philippines,5.8
Poland,12
Portugal,5.3
Puerto Rico,2.9
Qatar,2.8
Romania,10.7
Russian Federation,5.3
Rwanda,14.5
Saint Kitts and Nevis,2.9
Saint Lucia,3.6
Saint Vincent and the Grenadines,4.4
Samoa,12
San Marino,5.9
Saudi Arabia,2.5
Senegal,6.1
Serbia,12.4
Seychelles,-0.8
Sierra Leone,42.9
Singapore,5.5
Slovak Republic,10.9
Slovenia,7.4
Solomon Islands,4.9
Somalia,5.7
South Africa,5.8
"South Sudan, Republic of",16.3
Spain,3.5
Sri Lanka,NA
Sudan,256.2
Suriname,53.3
Sweden,6.9
Switzerland,2.2
Syria,NA
São Tomé and Príncipe,20.8
Taiwan Province of China,2.1
Tajikistan,4.6
Tanzania,4
Thailand,1.5
Timor-Leste,6
Togo,5
Tonga,10.2
Trinidad and Tobago,5.4
Tunisia,9.4
Turkmenistan,5.9
Tuvalu,6.2
"Türkiye, Republic of",51.2
Uganda,5.8
Ukraine,17.7
United Arab Emirates,3.1
United Kingdom,7.7
United States,4.1
Uruguay,6.1
Uzbekistan,10.2
Vanuatu,9.3
Venezuela,360
Vietnam,3.4
West Bank and Gaza,3.4
Yemen,14.9
Zambia,10.6
Zimbabwe,314.5
Africa (Region),18.5
Asia and Pacific,5.2
Australia and New Zealand,5.7
Caribbean,13.2
Central America,4.2
Central Asia and the Caucasus,37.6
East Asia,1.3
Eastern Europe ,8.6
Europe,6.5
Middle East (Region),13.9
North Africa,16.4
North America,4.2
Pacific Islands ,4.8
South Asia,8.1
Southeast Asia,3.9
Sub-Saharan Africa (Region) ,19.7
Western Europe,5.6
Western Hemisphere (Region),6.9
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"©IMF, 2023",
